"Country","Informal_Economy_Indicator","score_global_du_projet","score_du_projet_CBDC_de_detail","score_du_projet_CBDC_de_gros","interet_de_recherche_normalise","Indice_des_discours_des_banquiers_centraux_normalise","interet_de_recherche","indice_de_position_des_banquiers_centraux","Classement_general_de_l_indice","Classement_de_la_valeur_des_services_centralises_recus","Classement_de_la_valeur_des_services_centralises_reçus_dans_le_commerce_de_detail","Classement_du_volume_d_echange_pair_a_pair_P2P","Classement_de_la_valeur_recue_en_DeFi","Classement_de_la_valeur_reçue_en_DeFi_de_detail","Global Innovation Index: Global Innovation Index","Mobile cellular subscriptions (per 100 people)","Trade (% of GDP)","I_E_DGE"
"Afghanistan",NA,0,0,0,-0.685964046956471,-0.365377127548227,0,0,5.1948051948052,16.9934640522876,17.6470588235294,18.9542483660131,3.26797385620915,3.26797385620915,NA,NA,NA,NA
"Albania",32.8,0,0,0,-0.685964046956471,-0.365377127548227,0,0,45.4545454545455,31.3725490196078,28.7581699346405,36.6013071895425,62.7450980392157,62.7450980392157,24.4,97.88570679,85.1496805230602,29.3
"Algeria",32.2,0,0,0,-0.685964046956471,-0.365377127548227,0,0,70.1298701298701,77.124183006536,80.3921568627451,72.5490196078431,45.7516339869281,45.7516339869281,16.7,109.1653573,59.0422842448932,27.7
"Angola",46.5,0,0,0,-0.685964046956471,-0.365377127548227,0,0,30.5194805194805,35.2941176470588,31.3725490196078,56.8627450980392,24.8366013071895,24.8366013071895,13.9,67.37347427,68.1701004548458,40.4
"Argentina",25.3,1,1,0,0.265546876056553,-0.365377127548227,6.04511278195489,0,90.9090909090909,91.5032679738562,92.8104575163399,81.6993464052288,88.2352941176471,88.2352941176471,28.6,132.3578095,31.6505139756506,21.2
"Armenia",43.6,0,0,0,-0.685964046956471,-0.365377127548227,0,0,42.8571428571429,47.7124183006536,59.4771241830065,26.797385620915,43.1372549019608,43.1372549019608,26.6,135.2539805,101.006492374141,34
"Australia",14,2,2,2,1.11172885361167,2.8301726862318,11.4210526315789,0.888888888888889,74.025974025974,76.4705882352941,73.202614379085,54.9019607843137,79.0849673202614,79.0849673202614,47.1,107.0312028,45.1367444404109,12.6
"Austria",10.1,2,0,2,1.54665455536203,-0.365377127548227,14.1842105263158,0,46.1038961038961,52.9411764705882,49.6732026143791,17.6470588235294,58.1699346405229,58.1699346405229,50.2,123.4348071,123.685438704967,9.1
"Azerbaijan",54.8,1,1,0,-0.685964046956471,-0.365377127548227,0,0,52.5974025974026,56.8627450980392,64.0522875816993,35.9477124183007,53.5947712418301,53.5947712418301,21.4,106.8548072,87.0777533181195,39.1
"Bahamas",31.3,3,3,0,-0.685964046956471,3.2296164129543,0,1,18.1818181818182,15.6862745098039,15.6862745098039,16.9934640522876,24.1830065359477,24.1830065359477,NA,98.53872346,80.1967838479073,23.8
