Country;Region;Year;Index
Afghanistan;South Asia;2018;88,14
Afghanistan;South Asia;2019;90,02
Afghanistan;South Asia;2020;90,02
Afghanistan;South Asia;2021;90,02
Angola;Sub-Saharan Africa;2018;86,95
Angola;Sub-Saharan Africa;2019;86,95
Angola;Sub-Saharan Africa;2020;91,15
Angola;Sub-Saharan Africa;2021;91,15
Argentina;Latin America and the Caribbean;2018;
Argentina;Latin America and the Caribbean;2019;77,67
Argentina;Latin America and the Caribbean;2020;77,67
Argentina;Latin America and the Caribbean;2021;77,67
Armenia;Europe and Central Asia;2018;66,83
Armenia;Europe and Central Asia;2019;66,83
Armenia;Europe and Central Asia;2020;66,83
Armenia;Europe and Central Asia;2021;66,83
Bangladesh;South Asia;2018;58,98
Bangladesh;South Asia;2019;62,05
Bangladesh;South Asia;2020;62,05
Bangladesh;South Asia;2021;62,05
Benin;Sub-Saharan Africa;2018;74,20
Benin;Sub-Saharan Africa;2019;74,20
Benin;Sub-Saharan Africa;2020;74,20
Benin;Sub-Saharan Africa;2021;74,20
Bolivia;Latin America and the Caribbean;2018;74,91
Bolivia;Latin America and the Caribbean;2019;74,91
Bolivia;Latin America and the Caribbean;2020;74,91
Bolivia;Latin America and the Caribbean;2021;74,91
Botswana;Sub-Saharan Africa;2018;57,76
Botswana;Sub-Saharan Africa;2019;77,56
Botswana;Sub-Saharan Africa;2020;77,56
Botswana;Sub-Saharan Africa;2021;77,56
Brazil;Latin America and the Caribbean;2018;80,13
Brazil;Latin America and the Caribbean;2019;88,00
Brazil;Latin America and the Caribbean;2020;88,00
Brazil;Latin America and the Caribbean;2021;88,00
Burkina Faso;Sub-Saharan Africa;2018;73,45
Burkina Faso;Sub-Saharan Africa;2019;74,58
Burkina Faso;Sub-Saharan Africa;2020;74,58
Burkina Faso;Sub-Saharan Africa;2021;74,58
Burundi;Sub-Saharan Africa;2018;87,70
Burundi;Sub-Saharan Africa;2019;88,90
Burundi;Sub-Saharan Africa;2020;88,90
Burundi;Sub-Saharan Africa;2021;88,90
Cambodia;East Asia and Pacific;2018;78,48
Cambodia;East Asia and Pacific;2019;79,88
Cambodia;East Asia and Pacific;2020;79,88
Cambodia;East Asia and Pacific;2021;79,88
Cameroon;Sub-Saharan Africa;2018;71,10
Cameroon;Sub-Saharan Africa;2019;76,60
Cameroon;Sub-Saharan Africa;2020;78,10
Cameroon;Sub-Saharan Africa;2021;78,10
Central African Republic;Sub-Saharan Africa;2018;72,90
Central African Republic;Sub-Saharan Africa;2019;78,03
Central African Republic;Sub-Saharan Africa;2020;79,90
Central African Republic;Sub-Saharan Africa;2021;79,90
Chad;Sub-Saharan Africa;2018;76,05
Chad;Sub-Saharan Africa;2019;80,35
Chad;Sub-Saharan Africa;2020;81,85
Chad;Sub-Saharan Africa;2021;81,85
Colombia;Latin America and the Caribbean;2018;89,45
Colombia;Latin America and the Caribbean;2019;89,45
Colombia;Latin America and the Caribbean;2020;89,45
Colombia;Latin America and the Caribbean;2021;89,45
Congo;Sub-Saharan Africa;2018;72,90
Congo;Sub-Saharan Africa;2019;74,28
Congo;Sub-Saharan Africa;2020;76,15
Congo;Sub-Saharan Africa;2021;76,15
Congo, Democratic Republic;Sub-Saharan Africa;2018;84,80
Congo, Democratic Republic;Sub-Saharan Africa;2019;84,80
Congo, Democratic Republic;Sub-Saharan Africa;2020;86,00
Congo, Democratic Republic;Sub-Saharan Africa;2021;86,00
Cote d'Ivoire;Sub-Saharan Africa;2018;74,58
Cote d'Ivoire;Sub-Saharan Africa;2019;71,58
Cote d'Ivoire;Sub-Saharan Africa;2020;71,95
Cote d'Ivoire;Sub-Saharan Africa;2021;71,95
Dominican Republic;Latin America and the Caribbean;2018;65,81
Dominican Republic;Latin America and the Caribbean;2019;65,81
Dominican Republic;Latin America and the Caribbean;2020;65,81
Dominican Republic;Latin America and the Caribbean;2021;65,81
Egypt;Middle East and North Africa;2018;67,63
Egypt;Middle East and North Africa;2019;64,30
Egypt;Middle East and North Africa;2020;80,55
Egypt;Middle East and North Africa;2021;80,55
El Salvador;Latin America and the Caribbean;2018;73,24
El Salvador;Latin America and the Caribbean;2019;73,24
El Salvador;Latin America and the Caribbean;2020;73,24
El Salvador;Latin America and the Caribbean;2021;73,24
Equatorial Guinea;Sub-Saharan Africa;2018;73,05
Equatorial Guinea;Sub-Saharan Africa;2019;74,35
Equatorial Guinea;Sub-Saharan Africa;2020;75,85
Equatorial Guinea;Sub-Saharan Africa;2021;75,85
Eswatini;Sub-Saharan Africa;2018;54,17
Eswatini;Sub-Saharan Africa;2019;65,08
Eswatini;Sub-Saharan Africa;2020;75,49
Eswatini;Sub-Saharan Africa;2021;75,49
Ethiopia;Sub-Saharan Africa;2018;79,59
Ethiopia;Sub-Saharan Africa;2019;79,59
Ethiopia;Sub-Saharan Africa;2020;88,35
Ethiopia;Sub-Saharan Africa;2021;88,35
