Country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023e;% of GDP in 2023
Afghanistan;0;0;0;0;0;0;0;0;90;141;378;179;219;347;253;349;628;823;804;829;789;320;370;300;2,0
Albania;598;699;734;889;1 161;1 290;1 359;1 468;1 866;1 718;1 587;1 552;1 420;1 282;1 421;1 291;1 306;1 312;1 458;1 473;1 466;1 718;1 745;1 970;8,6
Algeria;0;0;0;0;0;170;189;99;104;150;197;203;215;210;2 452;1 997;1 989;1 792;1 985;1 786;1 700;1 792;1 659;1 770;0,8
American Samoa;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;47;53;0;0;0,0
Angola;0;0;0;0;0;0;0;0;82;0;18;0;40;37;31;11;4;1;2;3;8;13;14;15;0,02
Antigua and Barbuda;17;24;14;16;18;18;19;21;22;21;20;20;21;21;32;31;27;24;33;37;36;45;47;49;2,5
Argentina;86;190;207;273;312;432;541;606;705;629;644;697;578;535;505;494;392;480;522;561;648;901;1 267;1 600;0,3
Armenia;182;209;264;336;788;915;1 169;1 644;1 904;1 440;1 669;1 799;1 915;2 192;2 079;1 491;1 382;1 539;1 488;1 528;1 327;1 557;2 035;1 850;7,5
Aruba;1;1;1;0;1;1;1;5;7;9;5;5;5;58;59;54;53;56;37;34;35;36;38;34;0,9
Australia;518;487;466;652;825;940;1 015;1 342;1 526;1 335;1 864;2 449;2 405;2 442;2 330;2 175;2 057;2 002;1 868;1 763;1 197;936;1 298;1 656;0,1
Austria;0;0;0;0;0;2 314;2 517;2 916;3 190;3 102;2 983;3 251;3 028;3 262;3 240;2 864;2 888;2 957;3 023;2 996;3 031;3 224;2 935;3 000;0,6
Azerbaijan;57;104;163;156;204;623;790;1 268;1 518;1 255;1 410;1 893;1 990;1 733;1 846;1 270;643;1 133;1 226;1 275;1 403;1 527;3 950;2 800;3,6
Bahamas, The;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;53;58;55;0,4
Bahrain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0
Bangladesh ;1 968;2 105;2 858;3 192;3 584;4 315;5 428;6 562;8 941;10 521;10 850;12 071;14 120;13 867;14 988;15 296;13 574;13 502;15 566;18 364;21 752;22 206;21 504;23 000;5,2
Barbados;113;130;125;131;129;94;87;139;101;114;82;147;152;191;189;198;158;85;85;85;85;85;85;85;1,4
Belarus;114;67;81;164;239;199;268;288;583;504;575;891;1 053;1 214;1 231;932;977;1 254;1 446;1 419;1 014;1 150;1 465;1 550;2,3
Belgium;0;0;4 535;5 778;6 563;6 884;7 269;8 992;10 479;11 091;10 994;11 729;11 171;11 695;12 161;10 465;10 786;11 435;12 449;12 330;12 850;13 709;13 438;13 185;2,1
Belize;25;28;27;32;34;45;64;73;76;79;78;75;76;74;80;85;97;90;93;97;121;135;142;151;4,7
Benin;86;83;76;55;63;147;196;241;208;126;140;172;208;249;305;214;222;196;199;217;205;231;231;233;1,2
Bermuda;0;0;0;0;0;0;1 183;1 450;1 391;1 346;1 261;1 175;1 191;1 225;1 336;1 445;1 446;1 506;1 447;1 547;1 574;1 656;1 800;1 800;
Bhutan;0;0;0;0;0;0;2;3;4;5;8;10;18;12;14;20;34;43;58;57;83;73;88;75;2,8
