Country;Region;Classement_general_de_l_indice;Classement_de_la_valeur_des_services_centralises_recus;Classement_de_la_valeur_des_services_centralises_reçus_dans_le_commerce_de_detail;Classement_du_volume_d_echange_pair_a_pair_P2P;Classement_de_la_valeur_recue_en_DeFi;Classement_de_la_valeur_reçue_en_DeFi_de_detail
India;Central & Southern Asia and Oceania;1;1;1;5;1;1
Nigeria;Sub-Saharan Africa;2;3;2;1;4;4
Vietnam;Central & Southern Asia and Oceania;3;4;4;2;3;3
United States;North America;4;2;8;12;2;2
Ukraine;Eastern Europe;5;5;3;11;10;10
Philippines;Central & Southern Asia and Oceania;6;6;6;19;7;7
Indonesia;Central & Southern Asia and Oceania;7;13;13;14;5;5
Pakistan;Central & Southern Asia and Oceania;8;7;7;9;20;20
Brazil;Latin America;9;9;11;15;11;11
Thailand;Central & Southern Asia and Oceania;10;8;15;44;6;6
China;Eastern Asia;11;10;5;13;23;23
Turkey;Middle East & North Africa;12;11;9;35;12;12
Russia;Eastern Europe;13;12;10;36;9;9
United Kingdom;Central, Northern, & Western Europe;14;15;20;38;8;8
Argentina;Latin America;15;14;12;29;19;19
Mexico;Latin America;16;17;18;30;16;16
Bangladesh;Central & Southern Asia and Oceania;17;18;19;33;22;22
Japan;Eastern Asia;18;22;21;49;18;18
Canada;North America;19;25;23;62;14;14
Morocco;Middle East & North Africa;20;27;25;21;26;26
Kenya;Sub-Saharan Africa;21;20;34;3;55;55
Spain;Central, Northern, & Western Europe;22;28;32;63;13;13
France;Central, Northern, & Western Europe;23;26;28;55;21;21
Tanzania;Sub-Saharan Africa;24;57;62;6;27;27
Uzbekistan;Central & Southern Asia and Oceania;25;44;39;54;15;15
Germany;Central, Northern, & Western Europe;26;23;26;60;25;25
South Korea;Eastern Asia;27;16;16;75;29;29
Iran;Middle East & North Africa;28;33;14;57;31;31
Ghana;Sub-Saharan Africa;29;31;30;4;74;74
Cambodia;Central & Southern Asia and Oceania;30;45;43;56;17;17
South Africa;Sub-Saharan Africa;31;21;22;25;45;45
Colombia;Latin America;32;24;24;16;46;46
Taiwan;Eastern Asia;33;34;34;66;26;26
Poland;Eastern Europe;34;30;27;71;24;24
Egypt;Middle East & North Africa;35;29;29;24;50;50
Ethiopia;Sub-Saharan Africa;36;39;38;8;71;71
Italy;Central, Northern, & Western Europe;37;34;37;72;28;28
Malaysia;Central & Southern Asia and Oceania;38;42;51;40;37;37
Netherlands;Central, Northern, & Western Europe;39;38;46;69;32;32
Venezuela;Latin America;40;19;17;32;90;90
Australia;Central & Southern Asia and Oceania;41;37;42;70;33;33
Cameroon;Sub-Saharan Africa;42;70;71;7;51;51
Ecuador;Latin America;43;47;45;22;57;57
Belarus;Eastern Europe;44;40;36;61;41;41
Uganda;Sub-Saharan Africa;45;105;86;18;34;34
Kazakhstan;Central & Southern Asia and Oceania;46;41;35;81;40;40
Algeria;Middle East & North Africa;47;36;31;43;84;84
Hong Kong;Eastern Asia;48;56;69;87;30;30
Peru;Latin America;49;35;33;65;70;70
Sri Lanka;Central & Southern Asia and Oceania;50;48;41;66;54;54
Laos;Central & Southern Asia and Oceania;51;49;40;106;35;35
Georgia;Middle East & North Africa;52;51;50;91;39;39
Myanmar;Central & Southern Asia and Oceania;53;50;52;17;91;91
Yemen;Middle East & North Africa;54;32;49;26;99;99
Tunisia;Middle East & North Africa;55;43;44;23;92;92
Nepal;Central & Southern Asia and Oceania;56;90;87;20;52;52
Saudi Arabia;Middle East & North Africa;57;61;53;73;49;49
Bulgaria;Eastern Europe;58;53;57;100;38;38
Portugal;Central, Northern, & Western Europe;59;55;66;82;43;43
Moldova;Eastern Europe;60;52;48;77;63;63
Romania;Eastern Europe;61;58;59;80;48;48
Czech Republic;Eastern Europe;62;59;60;93;44;44
Switzerland;Central, Northern, & Western Europe;63;71;85;90;36;36
Iraq;Middle East & North Africa;64;60;64;27;98;98
Cote d'Ivoire;Sub-Saharan Africa;65;85;73;46;78;78
Jordan;Middle East & North Africa;66;54;47;68;87;87
Serbia;Central, Northern, & Western Europe;67;65;67;89;53;53
Chile;Latin America;68;66;65;76;69;69
West Bank and Gaza;Middle East & North Africa;69;46;84;28;107;107
Sweden;Central, Northern, & Western Europe;70;68;68;79;67;67
Dominican Republic;Latin America;71;63;58;45;96;96
Kyrgyzstan;Central & Southern Asia and Oceania;72;64;54;122;42;42
Hungary;Eastern Europe;73;79;77;96;47;47
Azerbaijan;Middle East & North Africa;74;67;56;99;72;72
Israel;Middle East & North Africa;75;76;79;94;56;56
Greece;Central, Northern, & Western Europe;76;69;72;104;61;61
Singapore;Central & Southern Asia and Oceania;77;82;101;84;59;59
UAE;Middle East & North Africa;78;77;89;102;60;60
Bolivia;Latin America;79;62;55;64;111;111
Benin;Sub-Saharan Africa;80;123;119;34;79;79
Belgium;Central, Northern, & Western Europe;81;74;82;105;75;75
Mozambique;Sub-Saharan Africa;82;92;88;37;112;112
Senegal;Sub-Saharan Africa;83;121;115;58;76;76
Austria;Central, Northern, & Western Europe;84;73;78;127;65;65
Albania;Central, Northern, & Western Europe;85;106;110;98;58;58
Mongolia;Eastern Asia;86;86;70;74;103;103
Haiti;Latin America;87;103;113;42;101;101
Lithuania;Central, Northern, & Western Europe;88;88;94;121;66;66
Armenia;Middle East & North Africa;89;81;63;113;88;88
New Zealand;Central & Southern Asia and Oceania;90;107;112;101;68;68
Malawi;Sub-Saharan Africa;91;108;118;47;104;104
Costa Rica;Latin America;92;84;100;103;86;86
Jamaica;Latin America;93;98;103;50;113;113
Nicaragua;Latin America;94;117;111;86;77;77
El Salvador;Latin America;95;80;80;88;108;108
Paraguay;Latin America;96;111;99;92;85;85
Panama;Latin America;97;113;114;95;81;81
