Country;Subject Descriptor;Units;Scale;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;Estimates Start After
Afghanistan;Gross domestic product, constant prices;National currency;Billions;n/a;n/a;453.484;492.903;496.209;554.910;584.658;662.650;688.247;829.924;899.956;958.266;1,092.118;1,154.178;1,185.306;1,197.012;1,222.917;1,255.288;1,270.216;1,319.902;1,288.869;1,101.445;1,032.711;n/a;2023
Afghanistan;Gross domestic product, constant prices;Percent change;Units;n/a;n/a;n/a;8.692;0.671;11.830;5.361;13.340;3.863;20.585;8.438;6.479;13.968;5.683;2.697;0.988;2.164;2.647;1.189;3.912;-2.351;-14.542;-6.240;n/a;2023
Afghanistan;Gross domestic product, current prices;National currency;Billions;n/a;n/a;178.756;220.013;246.210;304.926;345.817;427.495;517.509;607.227;711.759;836.222;1,033.591;1,116.827;1,183.039;1,226.570;1,222.917;1,285.460;1,327.690;1,469.596;1,547.289;1,251.171;1,283.442;n/a;2023
Afghanistan;Gross domestic product, current prices;U.S. dollars;Billions;n/a;n/a;4.367;4.553;5.146;6.167;6.925;8.556;10.297;12.066;15.325;17.890;20.293;20.170;20.616;20.057;18.020;18.883;18.336;18.876;20.136;14.288;14.467;n/a;2023
Afghanistan;Gross domestic product, current prices;"Purchasing power parity; international dollars";Billions;n/a;n/a;19.663;21.794;22.530;25.985;28.222;32.854;34.780;42.199;46.316;50.334;59.945;63.784;69.444;72.056;70.098;74.712;77.332;81.706;80.839;72.251;72.512;n/a;2023
Afghanistan;Gross domestic product, deflator;Index;Units;n/a;n/a;39.418;44.636;49.618;54.951;59.149;64.513;75.192;73.167;79.088;87.264;94.641;96.764;99.809;102.469;100.000;102.404;104.525;111.341;120.050;113.594;124.279;n/a;2023
Afghanistan;Gross domestic product per capita, constant prices;National currency;Units;n/a;n/a;24,240.972;25,307.035;24,519.477;26,491.217;27,072.434;29,547.735;29,927.645;35,172.942;37,083.165;38,282.435;42,225.016;43,169.344;42,944.602;42,110.882;41,880.715;42,265.573;40,196.701;40,990.732;39,127.076;32,685.541;30,140.846;n/a;2023
Afghanistan;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;n/a;n/a;1,442.769;1,506.218;1,459.345;1,576.698;1,611.291;1,758.615;1,781.227;2,093.415;2,207.108;2,278.485;2,513.139;2,569.343;2,555.967;2,506.346;2,492.647;2,515.553;2,392.418;2,439.677;2,328.757;1,945.371;1,793.916;n/a;2023
Afghanistan;Gross domestic product per capita, current prices;National currency;Units;n/a;n/a;9,555.404;11,296.097;12,166.141;14,557.087;16,012.960;19,062.112;22,503.294;25,734.841;29,328.405;33,406.827;39,962.174;41,772.320;42,862.455;43,150.711;41,880.715;43,281.492;42,015.519;45,639.637;46,972.096;37,128.682;37,458.716;n/a;2023
Afghanistan;Gross domestic product per capita, current prices;U.S. dollars;Units;n/a;n/a;233.433;233.755;254.259;294.396;320.674;381.502;447.746;511.374;631.490;714.700;784.611;754.402;746.922;705.597;617.126;635.789;580.253;586.204;611.268;423.993;422.229;n/a;2023
Afghanistan;Gross domestic product per capita, current prices;"Purchasing power parity; international dollars";Units;n/a;n/a;1,051.063;1,118.949;1,113.278;1,240.520;1,306.832;1,464.962;1,512.382;1,788.413;1,908.458;2,010.827;2,317.687;2,385.706;2,516.011;2,534.919;2,400.615;2,515.553;2,447.224;2,537.455;2,454.073;2,144.052;2,116.334;n/a;2023
Afghanistan;Output gap in percent of potential GDP;Percent of potential GDP;Units;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;Gross domestic product based on purchasing-power-parity (PPP) share of world total;Percent;Units;n/a;n/a;0.035;0.037;0.035;0.038;0.038;0.041;0.041;0.050;0.051;0.053;0.059;0.060;0.063;0.064;0.060;0.061;0.059;0.060;0.060;0.049;0.044;n/a;2023
Afghanistan;Implied PPP conversion rate;National currency per current international dollar;Units;n/a;n/a;9.091;10.095;10.928;11.735;12.253;13.012;14.879;14.390;15.368;16.613;17.242;17.509;17.036;17.023;17.446;17.206;17.169;17.986;19.140;17.317;17.700;n/a;2023
Afghanistan;Total investment;Percent of GDP;Units;n/a;n/a;27.243;30.102;35.354;37.048;29.489;55.852;30.222;36.503;30.269;26.407;25.340;23.093;17.460;18.467;19.283;18.481;18.047;18.192;17.011;10.937;7.951;n/a;2023
